location_id,sensor_id,parameter,display_name,value,unit,datetime_from,datetime_to,_ingested_at
783927,4272976,no2,NO₂ mass,12.9,µg/m³,2026-04-13 00:00:00+00:00,2026-04-13 01:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,14.6,µg/m³,2026-04-13 01:00:00+00:00,2026-04-13 02:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,11.6,µg/m³,2026-04-13 02:00:00+00:00,2026-04-13 03:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,12.6,µg/m³,2026-04-13 03:00:00+00:00,2026-04-13 04:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,15.1,µg/m³,2026-04-13 04:00:00+00:00,2026-04-13 05:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,18.9,µg/m³,2026-04-13 05:00:00+00:00,2026-04-13 06:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,26.7,µg/m³,2026-04-13 06:00:00+00:00,2026-04-13 07:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,20.9,µg/m³,2026-04-13 07:00:00+00:00,2026-04-13 08:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,13.4,µg/m³,2026-04-13 08:00:00+00:00,2026-04-13 09:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,12.8,µg/m³,2026-04-13 09:00:00+00:00,2026-04-13 10:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,13.5,µg/m³,2026-04-13 10:00:00+00:00,2026-04-13 11:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4272976,no2,NO₂ mass,10.6,µg/m³,2026-04-13 11:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-14 22:41:18.013651+00:00
